s_1;s_2;s_3;s_4;s_5;s_20;s_28;s_25;s_29;s_30;s_7_1;s_7_2;s_7_3;s_9;s_10;s_12;s_11;s_13;s_15;s_14;s_16;s_17;s_18;s_19;s_27;lang;email;stato_1;stato_2;stato_3;stato_4;stato_5
3;50;4;2;1;4;2;4;4;1;0;0;1;3;"Okus";3;4;3;5;4;3;5;1;1;1;;"";0;0;0;1;0
3;54;5;2;2;3;4;3;1;3;0;0;1;6;"";6;6;6;2;6;6;;;;;3;"";0;0;1;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;18;5;2;1;4;4;4;4;1;0;0;1;4;"??????????";4;4;4;5;3;2;6;1;1;1;3;"";0;0;0;1;0
3;26;4;2;2;4;3;3;5;1;1;1;1;3;"Umjetna hrana";3;3;3;4;5;3;2;2;2;2;4;"";0;0;0;1;0
3;54;4;2;1;4;2;3;3;2;1;1;1;3;"Meso iz epruvete";6;6;6;2;5;5;7;2;2;2;4;"";0;0;0;1;0
2;44;5;4;1;4;3;4;1;2;0;0;1;3;"????????????? ?????? ?????.";3;3;3;4;3;3;2;2;2;2;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;48;4;2;2;4;2;2;2;1;0;0;1;4;"Zdravlje";4;3;4;5;3;3;5;1;2;1;4;"";0;0;0;1;0
3;24;5;4;1;7;4;4;4;2;1;1;0;3;"";;;;;;;;;;;3;"";0;0;1;0;0
3;27;5;4;1;4;4;4;5;3;0;0;1;4;"Dolly the cloned sheep";3;4;3;5;4;2;4;2;2;1;2;"";0;0;0;1;0
2;58;5;4;1;3;3;3;4;1;0;0;1;3;"?????";2;3;2;5;5;5;7;2;2;2;3;"";0;0;0;1;0
2;56;5;2;1;5;3;3;2;2;0;0;1;6;"";6;2;4;4;5;3;;;;;3;"";0;0;1;0;0
3;33;4;4;1;4;2;3;4;3;0;0;1;3;"Piletina";2;2;3;4;6;3;4;2;2;2;4;"";0;0;0;1;0
2;21;5;3;1;5;4;2;2;1;0;0;1;6;"???????";6;4;4;5;5;5;4;2;2;1;3;"";0;0;0;1;0
3;50;5;4;1;3;2;1;1;1;1;1;1;3;"????????";5;5;4;6;6;6;6;1;1;1;3;"";0;0;0;1;0
2;56;5;4;2;4;3;2;3;2;0;0;1;4;"???????? ??????? ?? ??????????";3;5;5;6;5;3;5;1;2;1;3;"";0;0;0;1;0
3;46;4;2;2;4;3;4;5;2;0;0;1;3;"";;;;;;;;;;;;"";0;0;1;0;0
3;23;5;4;1;4;3;3;3;1;1;0;0;3;"???? ????????????, ????? ???;";4;4;3;6;3;2;5;1;1;1;3;"";0;0;0;1;0
2;60;5;4;1;4;3;3;4;2;0;0;1;3;"??? ?? ???????";3;3;3;6;5;3;4;2;2;2;3;"";0;0;0;1;0
2;31;5;2;1;4;3;4;4;3;0;0;1;3;"???? ??? ??? ????? ??????? ??????????, ??? ?????? ??? ????????? ???????? ??? ?? ??????? ??? ??????? ??? ????????????? ??? ??? ??????????????? ???????.";2;3;2;4;3;3;5;2;2;1;3;"";0;0;0;1;0
3;38;4;2;2;4;3;3;4;2;0;0;1;3;"Nezdravo";6;6;2;5;4;4;7;2;2;2;4;"";0;0;0;1;0
3;44;4;2;1;4;4;4;3;2;0;0;1;4;"Ne svida mi se";3;3;3;5;5;3;5;2;2;2;4;"";0;0;0;1;0
3;46;4;2;1;4;4;5;3;3;1;0;1;4;"U?as!!";6;6;6;2;5;5;7;2;2;2;4;"";0;0;0;1;0
3;24;4;2;1;5;2;3;4;2;0;0;1;3;"Da nebi to jela";6;6;6;2;5;5;7;2;2;2;4;"";0;0;0;1;0
3;56;5;4;1;4;3;2;1;3;0;1;1;6;"???????????? ??????????";2;4;3;5;4;3;4;2;2;2;3;"";0;0;0;1;0
3;44;4;2;2;4;2;4;4;1;0;0;1;3;"Da je zdravije od ostalog";4;3;4;4;3;2;4;1;2;1;4;"";0;0;0;1;0
3;28;3;4;1;5;3;2;5;1;1;0;0;4;"Carne artificial";3;4;2;5;5;3;5;1;1;1;5;"";0;0;0;1;0
3;54;4;4;1;4;3;3;4;2;0;0;1;3;"Proizvodnja bakterija u staklenim posudi";3;4;3;6;4;3;5;2;2;1;4;"";0;0;0;1;0
3;57;5;4;1;3;2;2;3;2;1;1;1;3;"???? ???????";6;6;6;2;6;6;7;2;2;2;3;"";0;0;0;1;0
3;39;4;2;2;4;3;3;3;1;1;0;1;3;"Kvalitetno meso";3;3;5;4;6;3;4;1;2;2;4;"";0;0;0;1;0
3;30;5;3;1;5;3;5;3;2;1;0;1;3;"?????????????? ?????? ????? ?????";5;6;3;5;5;3;4;2;2;2;3;"";0;0;0;1;0
2;27;3;4;1;4;3;3;3;2;1;1;0;4;"Less animal consumption";5;4;5;5;2;3;6;1;1;1;2;"";0;0;0;1;0
3;60;5;4;1;4;4;4;4;2;0;0;1;4;"???????";4;4;3;5;4;2;5;1;2;1;;"";0;0;0;1;0
3;45;5;4;1;4;3;2;3;3;1;1;0;4;"";6;6;6;2;5;4;;;;;3;"";0;0;1;0;0
3;20;5;2;1;4;1;2;3;1;0;1;0;3;"";;;;;;;;;;;3;"";0;0;1;0;0
2;33;4;4;1;3;2;4;6;2;0;0;1;3;"laboratorij, rak, genetska manipulacija";6;3;6;3;5;4;7;2;2;2;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
3;34;4;2;1;4;4;3;4;2;1;0;1;4;"Gmo";6;2;3;4;5;5;7;2;2;2;;"";0;0;0;1;0
3;27;5;4;2;4;3;2;3;3;1;1;1;6;"Modified foods";2;2;6;2;5;6;4;2;2;2;3;"";0;0;0;1;0
3;34;4;2;1;4;3;4;5;2;0;0;1;3;"Kemija";2;3;4;5;4;3;5;2;2;1;;"";0;0;0;1;0
3;20;5;2;1;4;3;3;4;1;1;1;0;4;"??????????";4;5;4;6;3;2;6;1;1;1;3;"";0;0;0;1;0
3;34;5;4;1;4;4;4;4;1;0;0;1;3;"????? ??? ????????????";3;4;3;5;4;3;4;2;2;2;3;"";0;0;0;1;0
2;32;4;4;1;4;4;3;4;2;1;0;0;4;"Buducnost";3;4;4;4;3;2;6;1;1;1;4;"";0;0;0;1;0
3;23;5;4;1;4;4;3;4;1;1;1;1;3;"?????????? ???? ???? ????? ???????";3;4;4;5;4;3;4;2;2;1;3;"";0;0;0;1;0
3;32;4;4;1;4;4;4;6;3;1;1;1;4;"Umjetno";3;3;3;4;3;3;4;;;;4;"";0;0;1;0;0
3;32;4;4;1;3;4;3;2;2;0;0;1;3;"Genska mofiikacija";3;6;2;3;5;3;2;2;2;2;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;2;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
3;29;5;4;1;1;1;1;1;1;1;1;0;4;"???????????? ????????";4;5;4;6;3;6;5;1;1;1;3;"";0;0;0;1;0
3;50;3;4;1;4;4;4;4;2;0;0;1;3;"No saludable";4;3;2;3;4;4;7;2;2;2;5;"";0;0;0;1;0
3;62;3;4;1;4;3;3;2;2;0;1;1;3;"Estupefacción";6;6;6;2;5;4;7;2;2;2;5;"";0;0;0;1;0
3;22;5;4;1;4;4;4;4;3;1;0;0;4;"";;;;;;;;;;;3;"";0;0;1;0;0
3;20;5;2;1;4;3;2;3;1;0;1;1;3;"??'?????? ?? ???????? ??? ?????? ???";4;5;3;6;2;2;6;1;2;1;3;"";0;0;0;1;0
3;53;5;4;1;4;3;3;2;2;0;0;1;4;"?????????";6;6;3;4;5;5;2;2;2;2;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;27;5;4;1;5;2;4;4;2;1;1;1;3;"????????";3;4;3;6;2;3;;;;;3;"";0;0;1;0;0
3;34;4;4;1;4;3;4;4;2;0;0;1;3;"Ga?enje, umjetno";6;2;6;5;5;6;7;2;2;2;4;"";0;0;0;1;0
