variableName;variableDescription
"s_1";"What is your sex at birth?"
"s_2";"How old are you?"
"s_3";"Which country are you from?"
"s_4";"What is your highest level of (completed) education?"
"s_5";"Choose your type of residence"
"s_20";"How often do you eat the following meat products (last 3 months)? - Fresh-cut poultry such as wings, breast, drumsticks or roast from chicken or turkey"
"s_28";"How often do you eat the following meat products (last 3 months)? - Fresh-cut beef such as steak, roast beef, pot roast, corned beef, beef short ribs"
"s_25";"How often do you eat the following meat products (last 3 months)? - Fresh-cut pork such as pork chops, spare ribs, baby back ribs, pork tenderloin, etc."
"s_29";"How often do you eat the following meat products (last 3 months)? - Processed pork, beef or poultry products such as sandwich, bacon, ham, hamburgers, lasagna, hotdog, sausages, pepperoni, salami, bologna etc."
"s_30";"How often do you eat the following meat products (last 3 months)? - Other meat such as duck, lamb, goat, goose, rabbit, venison, bison, liver, etc."
"s_7_1";"If you were to eat less meat, what would be the motivating reason? (You can choose multiple answers) - Animal welfare"
"s_7_2";"If you were to eat less meat, what would be the motivating reason? (You can choose multiple answers) - Environmental reasons "
"s_7_3";"If you were to eat less meat, what would be the motivating reason? (You can choose multiple answers) - Health reasons"
"s_9";"How familiar are you with the term ""cultured meat""?"
"s_10";"When you think of cultured meat, what first comes to your mind?"
"s_12";"""I think cultured meat is healthy."""
"s_11";"""I think cultured meat is environmentally friendly."" "
"s_13";"""I think cultured meat would be tasty"""
"s_15";"""I think cultured meat is kind to animals."""
"s_14";"""I think cultured meat is unnatural."""
"s_16";"""I think cultured meat is disgusting"""
"s_17";"What is the likelihood of you trying (tasting) cultured meat?"
"s_18";"Would you purchase cultures meat at the same price as regular meat?"
"s_19";"Would you purchase cultured meat at a higher price than regular meat?"
"s_27";"Would you purchase cultured meat at a lower price than regular meat?"
"lang";"Language"
"email";"E-mail"
"stato_1";"Overall Status - New"
"stato_2";"Overall Status - Distributed"
"stato_3";"Overall Status - Partially Complete"
"stato_4";"Overall Status - Complete"
"stato_5";"Overall Status - Rejected"
